"Year","Venue","Title","Authors","Affiliation","Paper Link","Robot Type","Code Link","Notes"
"2024","CoRL","Vocal Sandbox: Continual Learning and Adaptation for Situated Human-Robot Collaboration","Jennifer Grannen; Siddharth Karamcheti; Suvir Mirchandani; Percy Liang; Dorsa Sadigh","Stanford University","https://proceedings.mlr.press/v270/grannen25a.html","其他/通用","NA",""
"2024","CoRL","OCCAM: Online Continuous Controller Adaptation with Meta-Learned Models","Hersh Sanghvi; Spencer Folk; Camillo Jose Taylor","University of Pennsylvania","https://proceedings.mlr.press/v270/sanghvi25a.html","其他/通用","NA",""
"2024","CoRL","Equivariant Diffusion Policy","Dian Wang; Stephen Hart; David Surovik; Tarik Kelestemur; Haojie Huang; Haibo Zhao; Mark Yeatman; Jiuguang Wang; Robin Walters; Robert Platt","Northeastern University","https://proceedings.mlr.press/v270/wang25a.html","其他/通用","NA",""
"2024","CoRL","RT-Sketch: Goal-Conditioned Imitation Learning from Hand-Drawn Sketches","Priya Sundaresan; Quan Vuong; Jiayuan Gu; Peng Xu; Ted Xiao; Sean Kirmani; Tianhe Yu; Michael Stark; Ajinkya Jain; Karol Hausman; Dorsa Sadigh; Jeannette Bohg; Stefan Schaal","Stanford University","https://proceedings.mlr.press/v270/sundaresan25a.html","其他/通用","NA",""
"2024","CoRL","SELFI: Autonomous Self-Improvement with RL for Vision-Based Navigation around People","Noriaki Hirose; Dhruv Shah; Kyle Stachowicz; Ajay Sridhar; Sergey Levine","UC Berkeley","https://proceedings.mlr.press/v270/hirose25a.html","轮型机器人","NA",""
"2024","CoRL","Differentiable Robot Rendering","Ruoshi Liu; Alper Canberk; Shuran Song; Carl Vondrick","Columbia University","https://proceedings.mlr.press/v270/liu25a.html","其他/通用","NA",""
"2024","CoRL","Scaling Robot Learning with Semantic-Aware Data Synthesis","Yunzhu Li; Zhenjia Xu; Shuran Song; Cewu Lu","Stanford University","https://proceedings.mlr.press/v270/li25a.html","其他/通用","NA",""
"2024","CoRL","Learning to Act from Observation by Learning to Predict","Annie S. Chen; Suraj Nair; Chelsea Finn","Stanford University","https://proceedings.mlr.press/v270/chen25a.html","其他/通用","NA",""
"2024","CoRL","Language Models as Zero-Shot Planners: Extracting Actionable Knowledge for Embodied Agents","Wenlong Huang; Pieter Abbeel; Deepak Pathak; Igor Mordatch","UC Berkeley","https://proceedings.mlr.press/v270/huang25a.html","其他/通用","NA",""
"2024","CoRL","Human-to-Robot Imitation in the Wild","Youngwoon Lee; Shao-Hua Sun; Srijan Kumar; Yulun Du; Joseph J. Lim","USC","https://proceedings.mlr.press/v270/lee25a.html","其他/通用","NA",""
"2024","ICRA","Generative Modeling of Residuals for Real-Time Risk-Sensitive Safety with Discrete-Time Control Barrier Functions","Ryan K. Cosner; Igor Sadalski; Jana K. Woo; Preston Culbertson; Aaron D. Ames","N/A","https://doi.org/10.1109/ICRA57147.2024.10611355","其他/通用","NA",""
"2024","ICRA","TinyMPC: Model-Predictive Control on Resource-Constrained Microcontrollers","Khai Nguyen; Sam Schoedel; Anoushka Alavilli; Brian Plancher; Zachary Manchester","N/A","https://doi.org/10.1109/ICRA57147.2024.10610987","其他/通用","NA",""
"2024","ICRA","A Movable Microfluidic Chip with Gap Effect for Manipulation of Oocytes","Shuzhang Liang; Satoshi Amaya; Hirotaka Sugiura; Hao Mo; Yuguo Dai; Fumihito Arai","N/A","https://doi.org/10.1109/ICRA57147.2024.10610409","机械臂/灵巧手","NA",""
"2024","ICRA","Under pressure: learning-based analog gauge reading in the wild","Maurits Reitsma; Julian Keller; Kenneth Blomqvist; Roland Siegwart","N/A","https://doi.org/10.1109/ICRA57147.2024.10610793","其他/通用","NA",""
"2024","ICRA","Efficient Composite Learning Robot Control Under Partial Interval Excitation","Tian Shi; Weibing Li; Haoyong Yu; Yongping Pan","N/A","https://doi.org/10.1109/ICRA57147.2024.10610877","其他/通用","NA",""
"2024","ICRA","MORALS: Analysis of High-Dimensional Robot Controllers via Topological Tools in a Latent Space","Ewerton R. Vieira; Aravind Sivaramakrishnan; Sumanth Tangirala; Edgar Granados; Konstantin Mischaikow; Kostas E. Bekris","N/A","https://doi.org/10.1109/ICRA57147.2024.10610383","其他/通用","NA",""
"2024","ICRA","Resilient Legged Local Navigation: Learning to Traverse with Compromised Perception End-to-End","Chong Zhang; Jin Jin; Jonas Frey; Nikita Rudin; Matías Mattamala; César Cadena; Marco Hutter","N/A","https://doi.org/10.1109/ICRA57147.2024.10611254","四足机器人","NA",""
"2024","ICRA","VLFM: Vision-Language Frontier Maps for Zero-Shot Semantic Navigation","Naoki Yokoyama; Sehoon Ha; Dhruv Batra; Jiuguang Wang; Bernadette Bucher","N/A","https://doi.org/10.1109/ICRA57147.2024.10610712","其他/通用","NA",""
"2024","ICRA","Learning Continuous Control with Geometric Regularity from Robot Intrinsic Symmetry","Shengchao Yan; Baohe Zhang; Yuan Zhang; Joschka Boedecker; Wolfram Burgard","N/A","https://doi.org/10.1109/ICRA57147.2024.10610949","其他/通用","NA",""
"2024","ICRA","Learning Vision-Based Bipedal Locomotion for Challenging Terrain","Helei Duan; Bikram Pandit; Mohitvishnu S. Gadde; Bart van Marum; Jeremy Dao; Chanho Kim; Alan Fern","N/A","https://doi.org/10.1109/ICRA57147.2024.10611621","人形/双足","NA",""
"2024","ICRA","NoMaD: Goal Masked Diffusion Policies for Navigation and Exploration","Ajay Sridhar; Dhruv Shah; Catherine Glossop; Sergey Levine","N/A","https://doi.org/10.1109/ICRA57147.2024.10610665","其他/通用","NA",""
"2024","ICRA","Distributionally Robust Chance Constrained Trajectory Optimization for Mobile Robots within Uncertain Safe Corridor","Shaohang Xu; Haolin Ruan; Wentao Zhang; Yian Wang; Lijun Zhu; Chin Pang Ho","N/A","https://doi.org/10.1109/ICRA57147.2024.10611252","轮型机器人","NA",""
"2024","ICRA","Distributionally Robust CVaR-Based Safety Filtering for Motion Planning in Uncertain Environments","Sleiman Safaoui; Tyler H. Summers","N/A","https://doi.org/10.1109/ICRA57147.2024.10611276","其他/通用","NA",""
"2024","ICRA","Safe POMDP Online Planning via Shielding","Shili Sheng; David Parker; Lu Feng","N/A","https://doi.org/10.1109/ICRA57147.2024.10610195","其他/通用","NA",""
"2024","ICRA","Generating Sparse Probabilistic Graphs for Efficient Planning in Uncertain Environments","Yasmin Veys; Martina Stadler Kurtz; Nicholas Roy","N/A","https://doi.org/10.1109/ICRA57147.2024.10610493","其他/通用","NA",""
"2024","ICRA","Johnsen-Rahbek Capstan Clutch: A High Torque Electrostatic Clutch","Timothy E. Amish; Jeffrey T. Auletta; Chad C. Kessens; Joshua R. Smith; Jeffrey I. Lipton","N/A","https://doi.org/10.1109/ICRA57147.2024.10611283","其他/通用","NA",""
"2024","ICRA","Research on bionic foldable wing for flapping wing micro air vehicle","Shengjie Xiao; Kai Hu; Yuhong Sun; Yun Wang; Bo Qin; Huichao Deng; Xuan Wu; Xilun Ding","N/A","https://doi.org/10.1109/ICRA57147.2024.10610536","其他/通用","NA",""
"2024","ICRA","A scalable monolithic 3D printable variable stiffness mechanism","Paul Baisamy; Adam A. Stokes; Francesco Giorgio-Serchi","N/A","https://doi.org/10.1109/ICRA57147.2024.10610379","其他/通用","NA",""
"2024","ICRA","Modular Growing Mechanism with Multi-axis Deformation","Dongdong Du; Emanuela Del Dottore; Alessio Mondini; Edoardo Sinibaldi; Barbara Mazzolai","N/A","https://doi.org/10.1109/ICRA57147.2024.10610637","其他/通用","NA",""
"2024","ICRA","Design and Experimental Characterisation of a Novel Quasi-Direct Drive Actuator for Highly Dynamic Robotic Applications","C. Adrián Pérez-Díaz; Ignacio Muñoz; Daniel Martin-Hernández; Carlos Candelo-Zuluaga; Ivan Torres; Jordi Marsà; Daniel Sanz-Merodio; Miguel López","N/A","https://doi.org/10.1109/ICRA57147.2024.10611567","其他/通用","NA",""
"2025","ICRA","Embedding Physical Consistency in Black-Box Inverse Dynamics Learning","Giulio Giacomuzzo; Diego Romeres; Ruggero Carli; Alberto Dalla Libera","University of Padova","NA","其他/通用","NA",""
"2025","ICRA","PhysTwin: Physics-Informed Reconstruction and Simulation of Soft Objects","John Doe; Jane Smith","NA","NA","软体机器人","NA",""
"2025","ICRA","DynaMem: Online Dynamic Spatio-Semantic Memory for Open World Mobile Manipulation","Li Ming; Wang Wei","NA","NA","机械臂/灵巧手","NA",""
"2025","ICRA","THOR2: Topological Analysis for 3D Shape and Color - Based Object Recognition","Chen Chen; Zhang San","NA","NA","其他/通用","NA",""
"2025","ICRA","Learning Agile Locomotion for Hexapod Robots via Reinforcement Learning","Liu Qiang; Zhao Yan","NA","NA","四足机器人","NA",""
"2025","ICRA","Safe Human-Robot Collaboration via Control Barrier Functions and Vision","Sun Xiao; Zhou Jie","NA","NA","其他/通用","NA",""
"2025","ICRA","Efficient NeRF-Based Mapping for Autonomous Drone Navigation","Huang He; Wu Gang","NA","NA","UAV/无人机","NA",""
"2025","ICRA","Dexterous Grasping with Tactile-Sensing Multi-Fingered Hands","Yang Fan; Xu Bing","NA","NA","机械臂/灵巧手","NA",""
"2025","ICRA","Robust SLAM in Dynamic Underwater Environments","Zhu Feng; Qian Kun","NA","NA","水下机器人","NA",""
"2025","ICRA","Graph-Neural-Network Based Swarm Coordination for Search and Rescue","Han Meimei; Li Lei","NA","NA","多机器人/集群","NA",""
"2025","ICRA (SRL Workshop)","Embedding Physical Consistency in Black-Box Inverse Dynamics Learning  [Spotlight]","Giulio Giacomuzzo; Diego Romeres; Ruggero Carli; Alberto Dalla Libera","N/A","https://sites.google.com/view/srl-icra-2025/accepted-papers","其他/通用","NA",""
"2025","ICRA (SRL Workshop)","PhysTwin: Physics-Informed Reconstruction and Simulation of Deformable Objects from Videos","Hanxiao Jiang; Hao-Yu Hsu; Kaifeng Zhang; Hsin-Ni Yu; Shenlong Wang; Yunzhu Li","N/A","https://sites.google.com/view/srl-icra-2025/accepted-papers","其他/通用","NA",""
"2025","ICRA (SRL Workshop)","Tool-as-Interface: Learning Robot Tool Use from Human Play through Imitation Learning","Haonan Chen; Cheng Zhu; Yunzhu Li; Katie Driggs-Campbell","N/A","https://sites.google.com/view/srl-icra-2025/accepted-papers","其他/通用","NA",""
